Fecha;Tipo_de_festivo
01/01/2016;Festivos nacionales
06/01/2016;Festivos nacionales
28/02/2016;Andalucia
28/02/2016;Aragón
28/02/2016;Asturias
28/02/2016;Baleares
28/02/2016;Canarias
28/02/2016;Cantabria
28/02/2016;Castilla y León
28/02/2016;Castilla La Mancha
28/02/2016;Cataluña
28/02/2016;Ceuta
28/02/2016;País Vasco
28/02/2016;Extremadura
28/02/2016;Galicia
28/02/2016;Madrid
28/02/2016;Melilla
28/02/2016;Murcia
28/02/2016;Navarra
28/02/2016;Valencia
28/02/2016;La Rioja
01/03/2016;Andalucia
01/03/2016;Aragón
01/03/2016;Asturias
01/03/2016;Baleares
01/03/2016;Canarias
01/03/2016;Cantabria
01/03/2016;Castilla y León
01/03/2016;Castilla La Mancha
01/03/2016;Cataluña
01/03/2016;Ceuta
01/03/2016;País Vasco
01/03/2016;Extremadura
01/03/2016;Galicia
01/03/2016;Madrid
01/03/2016;Melilla
01/03/2016;Murcia
01/03/2016;Navarra
01/03/2016;Valencia
01/03/2016;La Rioja
19/03/2016;Andalucia
19/03/2016;Aragón
19/03/2016;Asturias
19/03/2016;Baleares
19/03/2016;Canarias
19/03/2016;Cantabria
19/03/2016;Castilla y León
19/03/2016;Castilla La Mancha
19/03/2016;Cataluña
19/03/2016;Ceuta
19/03/2016;País Vasco
19/03/2016;Extremadura
19/03/2016;Galicia
19/03/2016;Madrid
19/03/2016;Melilla
19/03/2016;Murcia
19/03/2016;Navarra
19/03/2016;Valencia
19/03/2016;La Rioja
21/03/2016;Día Entre Festivos
22/03/2016;Día Entre Festivos
23/03/2016;Día Entre Festivos
24/03/2016;Andalucia
24/03/2016;Aragón
24/03/2016;Asturias
24/03/2016;Baleares
24/03/2016;Canarias
24/03/2016;Cantabria
24/03/2016;Castilla y León
24/03/2016;Castilla La Mancha
24/03/2016;Cataluña
24/03/2016;Ceuta
24/03/2016;País Vasco
24/03/2016;Extremadura
24/03/2016;Galicia
24/03/2016;Madrid
24/03/2016;Melilla
24/03/2016;Murcia
24/03/2016;Navarra
24/03/2016;Valencia
24/03/2016;La Rioja
25/03/2016;Festivos nacionales
28/03/2016;Andalucia
28/03/2016;Aragón
28/03/2016;Asturias
28/03/2016;Baleares
28/03/2016;Canarias
28/03/2016;Cantabria
28/03/2016;Castilla y León
28/03/2016;Castilla La Mancha
28/03/2016;Cataluña
28/03/2016;Ceuta
28/03/2016;País Vasco
28/03/2016;Extremadura
28/03/2016;Galicia
28/03/2016;Madrid
28/03/2016;Melilla
28/03/2016;Murcia
28/03/2016;Navarra
28/03/2016;Valencia
28/03/2016;La Rioja
23/04/2016;Andalucia
23/04/2016;Aragón
23/04/2016;Asturias
23/04/2016;Baleares
23/04/2016;Canarias
23/04/2016;Cantabria
23/04/2016;Castilla y León
23/04/2016;Castilla La Mancha
23/04/2016;Cataluña
23/04/2016;Ceuta
23/04/2016;País Vasco
23/04/2016;Extremadura
23/04/2016;Galicia
23/04/2016;Madrid
23/04/2016;Melilla
23/04/2016;Murcia
23/04/2016;Navarra
23/04/2016;Valencia
23/04/2016;La Rioja
02/05/2016;Festivos nacionales
15/05/2016;Andalucia
15/05/2016;Aragón
15/05/2016;Asturias
15/05/2016;Baleares
15/05/2016;Canarias
15/05/2016;Cantabria
15/05/2016;Castilla y León
15/05/2016;Castilla La Mancha
15/05/2016;Cataluña
15/05/2016;Ceuta
15/05/2016;País Vasco
15/05/2016;Extremadura
15/05/2016;Galicia
15/05/2016;Madrid
15/05/2016;Melilla
15/05/2016;Murcia
15/05/2016;Navarra
15/05/2016;Valencia
15/05/2016;La Rioja
16/05/2016;Andalucia
16/05/2016;Aragón
16/05/2016;Asturias
16/05/2016;Baleares
16/05/2016;Canarias
16/05/2016;Cantabria
16/05/2016;Castilla y León
16/05/2016;Castilla La Mancha
16/05/2016;Cataluña
16/05/2016;Ceuta
16/05/2016;País Vasco
16/05/2016;Extremadura
16/05/2016;Galicia
16/05/2016;Madrid
16/05/2016;Melilla
16/05/2016;Murcia
16/05/2016;Navarra
16/05/2016;Valencia
16/05/2016;La Rioja
17/05/2016;Andalucia
17/05/2016;Aragón
17/05/2016;Asturias
17/05/2016;Baleares
17/05/2016;Canarias
17/05/2016;Cantabria
17/05/2016;Castilla y León
17/05/2016;Castilla La Mancha
17/05/2016;Cataluña
17/05/2016;Ceuta
17/05/2016;País Vasco
17/05/2016;Extremadura
17/05/2016;Galicia
17/05/2016;Madrid
17/05/2016;Melilla
17/05/2016;Murcia
17/05/2016;Navarra
17/05/2016;Valencia
17/05/2016;La Rioja
26/05/2016;Andalucia
26/05/2016;Aragón
26/05/2016;Asturias
26/05/2016;Baleares
26/05/2016;Canarias
26/05/2016;Cantabria
26/05/2016;Castilla y León
26/05/2016;Castilla La Mancha
26/05/2016;Cataluña
26/05/2016;Ceuta
26/05/2016;País Vasco
26/05/2016;Extremadura
26/05/2016;Galicia
26/05/2016;Madrid
26/05/2016;Melilla
26/05/2016;Murcia
26/05/2016;Navarra
26/05/2016;Valencia
26/05/2016;La Rioja
30/05/2016;Andalucia
30/05/2016;Aragón
30/05/2016;Asturias
30/05/2016;Baleares
30/05/2016;Canarias
30/05/2016;Cantabria
30/05/2016;Castilla y León
30/05/2016;Castilla La Mancha
30/05/2016;Cataluña
30/05/2016;Ceuta
30/05/2016;País Vasco
30/05/2016;Extremadura
30/05/2016;Galicia
30/05/2016;Madrid
30/05/2016;Melilla
30/05/2016;Murcia
30/05/2016;Navarra
30/05/2016;Valencia
30/05/2016;La Rioja
31/05/2016;Andalucia
31/05/2016;Aragón
31/05/2016;Asturias
31/05/2016;Baleares
31/05/2016;Canarias
31/05/2016;Cantabria
31/05/2016;Castilla y León
31/05/2016;Castilla La Mancha
31/05/2016;Cataluña
31/05/2016;Ceuta
31/05/2016;País Vasco
31/05/2016;Extremadura
31/05/2016;Galicia
31/05/2016;Madrid
31/05/2016;Melilla
31/05/2016;Murcia
31/05/2016;Navarra
31/05/2016;Valencia
31/05/2016;La Rioja
09/06/2016;Andalucia
09/06/2016;Aragón
09/06/2016;Asturias
09/06/2016;Baleares
09/06/2016;Canarias
09/06/2016;Cantabria
09/06/2016;Castilla y León
09/06/2016;Castilla La Mancha
09/06/2016;Cataluña
09/06/2016;Ceuta
09/06/2016;País Vasco
09/06/2016;Extremadura
09/06/2016;Galicia
09/06/2016;Madrid
09/06/2016;Melilla
09/06/2016;Murcia
09/06/2016;Navarra
09/06/2016;Valencia
09/06/2016;La Rioja
24/06/2016;Andalucia
24/06/2016;Aragón
24/06/2016;Asturias
24/06/2016;Baleares
24/06/2016;Canarias
24/06/2016;Cantabria
24/06/2016;Castilla y León
24/06/2016;Castilla La Mancha
24/06/2016;Cataluña
24/06/2016;Ceuta
24/06/2016;País Vasco
24/06/2016;Extremadura
24/06/2016;Galicia
24/06/2016;Madrid
24/06/2016;Melilla
24/06/2016;Murcia
24/06/2016;Navarra
24/06/2016;Valencia
24/06/2016;La Rioja
25/07/2016;Andalucia
25/07/2016;Aragón
25/07/2016;Asturias
25/07/2016;Baleares
25/07/2016;Canarias
25/07/2016;Cantabria
25/07/2016;Castilla y León
25/07/2016;Castilla La Mancha
25/07/2016;Cataluña
25/07/2016;Ceuta
25/07/2016;País Vasco
25/07/2016;Extremadura
25/07/2016;Galicia
25/07/2016;Madrid
25/07/2016;Melilla
25/07/2016;Murcia
25/07/2016;Navarra
25/07/2016;Valencia
25/07/2016;La Rioja
28/07/2016;Andalucia
28/07/2016;Aragón
28/07/2016;Asturias
28/07/2016;Baleares
28/07/2016;Canarias
28/07/2016;Cantabria
28/07/2016;Castilla y León
28/07/2016;Castilla La Mancha
28/07/2016;Cataluña
28/07/2016;Ceuta
28/07/2016;País Vasco
28/07/2016;Extremadura
28/07/2016;Galicia
28/07/2016;Madrid
28/07/2016;Melilla
28/07/2016;Murcia
28/07/2016;Navarra
28/07/2016;Valencia
28/07/2016;La Rioja
15/08/2016;Festivos nacionales
08/09/2016;Andalucia
08/09/2016;Aragón
08/09/2016;Asturias
08/09/2016;Baleares
08/09/2016;Canarias
08/09/2016;Cantabria
08/09/2016;Castilla y León
08/09/2016;Castilla La Mancha
08/09/2016;Cataluña
08/09/2016;Ceuta
08/09/2016;País Vasco
08/09/2016;Extremadura
08/09/2016;Galicia
08/09/2016;Madrid
08/09/2016;Melilla
08/09/2016;Murcia
08/09/2016;Navarra
08/09/2016;Valencia
08/09/2016;La Rioja
11/09/2016;Andalucia
11/09/2016;Aragón
11/09/2016;Asturias
11/09/2016;Baleares
11/09/2016;Canarias
11/09/2016;Cantabria
11/09/2016;Castilla y León
11/09/2016;Castilla La Mancha
11/09/2016;Cataluña
11/09/2016;Ceuta
11/09/2016;País Vasco
11/09/2016;Extremadura
11/09/2016;Galicia
11/09/2016;Madrid
11/09/2016;Melilla
11/09/2016;Murcia
11/09/2016;Navarra
