,Predicciones,Reales
2021-01-01 00:00:00,35.651333333333326,50.87
2021-01-01 01:00:00,34.36786666666667,48.19
2021-01-01 02:00:00,32.556,44.68
2021-01-01 03:00:00,26.323,38.5
2021-01-01 04:00:00,23.829333333333324,36.8
2021-01-01 05:00:00,24.23113333333334,36.55
2021-01-01 06:00:00,24.74033333333334,36.6
2021-01-01 07:00:00,30.579533333333355,36.55
2021-01-01 08:00:00,31.942733333333326,36.55
2021-01-01 09:00:00,32.490399999999994,36.55
2021-01-01 10:00:00,31.834799999999994,37.55
2021-01-01 11:00:00,31.601266666666664,37.55
2021-01-01 12:00:00,32.511866666666656,37.55
2021-01-01 13:00:00,33.30819999999999,37.55
2021-01-01 14:00:00,34.182733333333324,36.6
2021-01-01 15:00:00,32.83099999999999,35.5
2021-01-01 16:00:00,33.02193333333333,36.0
2021-01-01 17:00:00,39.627533333333304,38.5
2021-01-01 18:00:00,47.512599999999985,52.01
2021-01-01 19:00:00,50.35299999999998,55.16
2021-01-01 20:00:00,50.32600000000001,57.4
2021-01-01 21:00:00,50.15466666666666,53.86
2021-01-01 22:00:00,49.87666666666666,53.45
2021-01-01 23:00:00,46.67386666666665,49.72
2021-01-02 00:00:00,40.85419999999999,46.69
2021-01-02 01:00:00,37.24960000000004,42.43
2021-01-02 02:00:00,34.19200000000001,40.1
2021-01-02 03:00:00,30.024866666666675,39.11
2021-01-02 04:00:00,28.833266666666667,37.55
2021-01-02 05:00:00,30.721866666666664,37.7
2021-01-02 06:00:00,32.26813333333334,39.6
2021-01-02 07:00:00,34.32753333333333,43.34
2021-01-02 08:00:00,37.61953333333333,48.45
2021-01-02 09:00:00,40.222600000000014,51.6
2021-01-02 10:00:00,40.32926666666666,52.0
2021-01-02 11:00:00,39.880266666666664,51.25
2021-01-02 12:00:00,38.56686666666666,50.56
2021-01-02 13:00:00,37.786133333333325,50.57
2021-01-02 14:00:00,37.97766666666666,50.57
2021-01-02 15:00:00,36.90353333333333,48.45
2021-01-02 16:00:00,38.921466666666674,50.25
2021-01-02 17:00:00,40.602133333333335,54.23
2021-01-02 18:00:00,52.587333333333284,58.65
2021-01-02 19:00:00,53.35893333333331,60.43
2021-01-02 20:00:00,53.912999999999975,60.03
2021-01-02 21:00:00,53.406999999999954,55.03
2021-01-02 22:00:00,52.36206666666666,52.25
2021-01-02 23:00:00,48.07593333333334,48.45
2021-01-03 00:00:00,46.27593333333333,46.11
2021-01-03 01:00:00,41.3166,43.0
2021-01-03 02:00:00,37.50246666666667,39.55
2021-01-03 03:00:00,37.521333333333345,37.44
2021-01-03 04:00:00,37.239200000000004,35.64
2021-01-03 05:00:00,37.10706666666667,35.5
2021-01-03 06:00:00,37.37786666666668,36.14
2021-01-03 07:00:00,39.04966666666667,36.97
2021-01-03 08:00:00,44.40993333333333,38.92
2021-01-03 09:00:00,45.87459999999999,44.49
2021-01-03 10:00:00,49.10939999999995,49.0
2021-01-03 11:00:00,48.34506666666664,50.3
2021-01-03 12:00:00,47.359533333333275,48.0
2021-01-03 13:00:00,47.148866666666635,46.64
2021-01-03 14:00:00,48.64513333333329,44.01
2021-01-03 15:00:00,47.006333333333316,41.27
2021-01-03 16:00:00,50.63859999999995,49.92
2021-01-03 17:00:00,53.11923333333332,55.16
2021-01-03 18:00:00,53.55393333333328,59.29
2021-01-03 19:00:00,53.90739999999999,61.09
2021-01-03 20:00:00,54.641,60.0
2021-01-03 21:00:00,53.082133333333324,59.4
2021-01-03 22:00:00,52.26066666666664,55.36
2021-01-03 23:00:00,48.16880000000001,53.06
2021-01-04 00:00:00,49.04293333333337,50.23
2021-01-04 01:00:00,43.739599999999946,47.01
2021-01-04 02:00:00,42.3261333333333,43.79
2021-01-04 03:00:00,42.180599999999956,41.65
2021-01-04 04:00:00,41.97406666666662,41.62
2021-01-04 05:00:00,42.285799999999966,44.5
2021-01-04 06:00:00,42.28786666666667,56.0
2021-01-04 07:00:00,48.06846666666667,62.0
2021-01-04 08:00:00,50.994733333333365,64.84
2021-01-04 09:00:00,51.930266666666675,68.25
2021-01-04 10:00:00,53.28713333333335,65.97
2021-01-04 11:00:00,54.372399999999985,63.93
2021-01-04 12:00:00,52.710600000000014,63.94
2021-01-04 13:00:00,52.60793333333334,63.94
2021-01-04 14:00:00,48.3668666666667,61.97
2021-01-04 15:00:00,48.19530000000002,62.45
2021-01-04 16:00:00,53.54520000000001,63.9
2021-01-04 17:00:00,57.98973333333331,67.02
2021-01-04 18:00:00,59.63519999999999,71.05
2021-01-04 19:00:00,61.02299999999995,72.6
2021-01-04 20:00:00,60.19519999999996,70.0
2021-01-04 21:00:00,59.73579999999998,66.0
2021-01-04 22:00:00,57.258266666666664,62.48
2021-01-04 23:00:00,54.939800000000005,61.25
2021-01-05 00:00:00,52.31213333333333,64.68
2021-01-05 01:00:00,50.42546666666669,56.25
2021-01-05 02:00:00,47.152466666666676,51.86
2021-01-05 03:00:00,46.81293333333335,50.91
2021-01-05 04:00:00,46.84686666666668,50.56
2021-01-05 05:00:00,47.17060000000002,51.25
2021-01-05 06:00:00,52.796733333333336,58.45
2021-01-05 07:00:00,55.40826666666662,68.3
2021-01-05 08:00:00,59.96253333333334,70.41
2021-01-05 09:00:00,62.62679999999994,75.0
2021-01-05 10:00:00,65.24426666666662,73.48
2021-01-05 11:00:00,64.7472666666666,72.31
2021-01-05 12:00:00,63.63339999999998,71.35
2021-01-05 13:00:00,63.01359999999997,72.52
2021-01-05 14:00:00,60.76106666666664,69.75
2021-01-05 15:00:00,60.171799999999976,68.29
2021-01-05 16:00:00,61.04126666666664,69.75
2021-01-05 17:00:00,62.96113333333336,71.9
2021-01-05 18:00:00,64.8456666666666,80.0
2021-01-05 19:00:00,64.62166666666661,80.0
2021-01-05 20:00:00,64.22726666666664,75.99
2021-01-05 21:00:00,64.34979999999995,75.39
2021-01-05 22:00:00,61.34213333333333,72.69
2021-01-05 23:00:00,56.46119999999996,70.0
2021-01-06 00:00:00,71.7433,69.02
2021-01-06 01:00:00,62.27019999999997,67.54
2021-01-06 02:00:00,56.35719999999995,60.39
2021-01-06 03:00:00,52.72379999999998,55.75
2021-01-06 04:00:00,51.107199999999985,55.16
2021-01-06 05:00:00,52.73506666666664,53.51
2021-01-06 06:00:00,55.27419999999996,55.18
2021-01-06 07:00:00,61.21219999999996,67.61
2021-01-06 08:00:00,63.16026666666662,70.0
2021-01-06 09:00:00,65.20359999999998,73.54
2021-01-06 10:00:00,66.24266666666664,75.95
2021-01-06 11:00:00,66.44666666666664,77.18
2021-01-06 12:00:00,65.80233333333331,77.01
2021-01-06 13:00:00,66.54279999999997,73.79
2021-01-06 14:00:00,66.16719999999997,73.02
2021-01-06 15:00:00,64.31226666666664,70.89
2021-01-06 16:00:00,64.6439333333333,72.85
2021-01-06 17:00:00,72.35546666666664,78.0
2021-01-06 18:00:00,74.78839999999994,83.35
2021-01-06 19:00:00,74.80579999999995,90.0
2021-01-06 20:00:00,74.86759999999995,79.6
2021-01-06 21:00:00,75.08533333333327,75.4
2021-01-06 22:00:00,74.96739999999996,72.1
2021-01-06 23:00:00,72.68779999999992,67.54
2021-01-07 00:00:00,67.56646666666674,77.0
2021-01-07 01:00:00,58.405533333333366,65.85
2021-01-07 02:00:00,55.039533333333345,63.78
2021-01-07 03:00:00,52.341200000000015,59.31
2021-01-07 04:00:00,52.34940000000001,58.0
2021-01-07 05:00:00,52.60773333333336,60.65
