,Real,Pred
0,46.69,46.01252
1,42.43,43.56331
2,40.1,40.60236
3,39.11,37.85376
4,37.55,35.94153
5,37.7,34.90055
6,39.6,36.14607
7,43.34,39.386875
8,48.45,42.214607
9,51.6,43.278656
10,52.0,42.527615
11,51.25,40.797447
12,50.56,38.49697
13,50.57,36.41905
14,50.57,35.017178
15,48.45,35.091805
16,50.25,36.796356
17,54.23,40.56703
18,58.65,45.61995
19,60.43,48.797165
20,60.03,49.550484
21,55.03,48.476295
22,52.25,46.72284
23,48.45,44.56754
24,46.11,50.64209
25,43.0,49.565567
26,39.55,48.030373
27,37.44,46.230988
28,35.64,44.899734
29,35.5,44.562157
30,36.14,45.92678
31,36.97,48.33914
32,38.92,50.843445
33,44.49,52.721565
34,49.0,53.375313
35,50.3,53.054367
36,48.0,51.984924
37,46.64,50.87601
38,44.01,49.827602
39,41.27,49.354492
40,49.92,50.350407
41,55.16,53.830833
42,59.29,56.467407
43,61.09,56.23641
44,60.0,55.041664
45,59.4,53.05483
46,55.36,50.272026
47,53.06,46.686584
48,50.23,47.637703
49,47.01,42.975388
50,43.79,39.390884
51,41.65,37.200783
52,41.62,36.580544
53,44.5,37.379547
54,56.0,42.15349
55,62.0,51.295986
56,64.84,57.553425
57,68.25,59.144993
58,65.97,58.286568
59,63.93,56.771458
60,63.94,55.365486
61,63.94,54.143356
62,61.97,53.303543
63,62.45,53.402184
64,63.9,54.607063
65,67.02,57.89936
66,71.05,60.207253
67,72.6,60.5322
68,70.0,58.932663
69,66.0,55.538486
70,62.48,51.234627
71,61.25,46.805073
72,64.68,55.285294
73,56.25,52.06432
74,51.86,48.6159
75,50.91,45.41712
76,50.56,43.206875
77,51.25,43.005104
78,58.45,47.58545
79,68.3,58.83077
80,70.41,68.10035
81,75.0,72.0792
82,73.48,73.3079
83,72.31,73.467384
84,71.35,72.17477
85,72.52,70.16698
86,69.75,68.05374
87,68.29,67.908066
88,69.75,68.9536
89,71.9,71.17539
90,80.0,72.074615
91,80.0,71.163635
92,75.99,67.826294
93,75.39,62.031773
94,72.69,55.44614
95,70.0,49.119804
96,69.02,69.594315
97,67.54,66.14951
98,60.39,62.11618
99,55.75,58.17368
100,55.16,55.952477
101,53.51,57.024204
102,55.18,62.880585
103,67.61,69.980896
104,70.0,73.70122
105,73.54,74.729515
106,75.95,73.66873
107,77.18,72.48008
108,77.01,71.32686
109,73.79,70.36096
110,73.02,69.7066
111,70.89,70.46139
112,72.85,72.23993
113,78.0,74.4951
114,83.35,75.71621
115,90.0,75.66324
116,79.6,74.65109
117,75.4,72.58815
118,72.1,68.87153
119,67.54,64.8465
120,77.0,67.34706
121,65.85,63.48828
122,63.78,59.403343
123,59.31,55.803467
124,58.0,54.130573
125,60.65,55.535126
126,65.0,61.40105
127,83.98,69.09456
128,95.02,74.34384
129,99.0,76.17191
130,100.0,76.32504
131,100.0,75.73513
132,100.0,74.31754
133,100.0,73.21228
134,100.0,72.09659
135,99.85,72.358315
136,97.85,73.95498
137,100.0,77.08031
138,106.95,79.19948
139,108.97,80.00612
140,101.85,78.94985
141,101.17,76.74479
142,100.0,73.21854
143,90.0,70.22069
144,95.98,75.08086
145,77.93,70.00246
146,69.55,63.92109
147,65.0,58.040947
148,60.0,53.816193
149,61.1,52.721893
150,69.51,57.496964
151,86.93,75.129456
152,103.54,92.907364
153,110.45,101.38504
154,110.0,104.10271
155,110.45,104.58918
156,110.0,103.82555
157,110.0,102.513954
158,107.75,101.72703
159,100.98,101.81844
160,100.36,102.0184
161,110.0,102.39929
162,113.37,100.63849
163,114.89,97.5244
164,110.0,93.98384
165,110.0,88.87632
166,97.45,82.90086
167,74.49,76.22053
168,70.17,96.88794
169,61.64,89.0185
170,55.96,79.716995
171,51.88,71.21346
172,50.25,64.77524
173,50.25,60.46893
174,51.39,58.80822
175,55.62,60.887234
176,60.39,71.54155
177,72.03,87.50432
178,92.01,98.39438
179,95.98,102.658936
180,75.02,104.23442
181,75.03,104.43236
182,76.64,103.53279
183,72.85,104.57457
184,75.5,106.63089
185,100.0,109.13697
186,114.89,109.82924
187,120.0,109.767494
188,121.23999999999998,108.57733
189,120.69,106.74171
190,115.0,103.930954
191,101.41,99.13137
192,62.0,73.43751
193,55.75,65.687935
194,53.14,59.994316
195,49.03,57.007645
196,48.45,56.378307
197,49.07,58.42135
198,50.87,64.84041
199,50.23,78.39304
200,51.6,89.72105
201,57.43,94.024864
202,60.9,94.87576
203,61.53,92.8701
204,60.39,88.9032
205,56.41,83.358475
206,56.99,77.179504
207,56.41,74.90011
208,56.52,79.34509
209,62.6,88.31908
210,95.0,93.70306
211,107.75,95.18222
212,110.29,94.47296
213,110.0,91.16597
214,100.36,85.21101
215,67.78,78.27143
216,58.25,56.220108
217,53.19,52.18721
218,50.87,49.661545
219,47.69,48.275803
220,46.36,47.598843
221,52.3,47.7929
222,62.51,50.433434
223,77.9,61.681023
224,95.98,74.5327
225,98.42,76.58118
226,95.98,70.92626
227,83.35,63.765182
228,80.0,58.054977
229,80.98,54.353374
230,77.75,52.11422
