,MAE,MAE (median),MAPE,WMAPE,RMSE,% Trend,Dias,Variables
0,16.02,9.68,152.92,14.31,26.8,82.74,7,"['Spot_electricidad', 'Hueco_Termico', 'Lunes', 'Martes', 'Miercoles', 'Jueves', 'Viernes', 'Sabado', 'Hora_1', 'Hora_2', 'Hora_3', 'Hora_4', 'Hora_5', 'Hora_6', 'Hora_7', 'Hora_8', 'Hora_9', 'Hora_10', 'Hora_11', 'Hora_12', 'Hora_13', 'Hora_14', 'Hora_15', 'Hora_16', 'Hora_17', 'Hora_18', 'Hora_19', 'Hora_20', 'Hora_21', 'Hora_22', 'Hora_23', 'Festivo_Nacional', 'MIBGAS_FW1D', 'Precio_max', 'Precio_min', 'Spred_precio', 'Temperatura_max', 'Temperatura_min', 'Spred_temperatura', 'lag_24']"
0,12.86,8.33,104.64,11.49,20.91,83.64,21,"['Spot_electricidad', 'Hueco_Termico', 'Lunes', 'Martes', 'Miercoles', 'Jueves', 'Viernes', 'Sabado', 'Hora_1', 'Hora_2', 'Hora_3', 'Hora_4', 'Hora_5', 'Hora_6', 'Hora_7', 'Hora_8', 'Hora_9', 'Hora_10', 'Hora_11', 'Hora_12', 'Hora_13', 'Hora_14', 'Hora_15', 'Hora_16', 'Hora_17', 'Hora_18', 'Hora_19', 'Hora_20', 'Hora_21', 'Hora_22', 'Hora_23', 'Festivo_Nacional', 'MIBGAS_FW1D', 'Precio_max', 'Precio_min', 'Spred_precio', 'Temperatura_max', 'Temperatura_min', 'Spred_temperatura', 'lag_24']"
0,11.4,7.6,118.88,10.19,18.29,83.89,30,"['Spot_electricidad', 'Hueco_Termico', 'Lunes', 'Martes', 'Miercoles', 'Jueves', 'Viernes', 'Sabado', 'Hora_1', 'Hora_2', 'Hora_3', 'Hora_4', 'Hora_5', 'Hora_6', 'Hora_7', 'Hora_8', 'Hora_9', 'Hora_10', 'Hora_11', 'Hora_12', 'Hora_13', 'Hora_14', 'Hora_15', 'Hora_16', 'Hora_17', 'Hora_18', 'Hora_19', 'Hora_20', 'Hora_21', 'Hora_22', 'Hora_23', 'Festivo_Nacional', 'MIBGAS_FW1D', 'Precio_max', 'Precio_min', 'Spred_precio', 'Temperatura_max', 'Temperatura_min', 'Spred_temperatura', 'lag_24']"
0,10.53,6.86,134.54,9.41,16.86,84.4,60,"['Spot_electricidad', 'Hueco_Termico', 'Lunes', 'Martes', 'Miercoles', 'Jueves', 'Viernes', 'Sabado', 'Hora_1', 'Hora_2', 'Hora_3', 'Hora_4', 'Hora_5', 'Hora_6', 'Hora_7', 'Hora_8', 'Hora_9', 'Hora_10', 'Hora_11', 'Hora_12', 'Hora_13', 'Hora_14', 'Hora_15', 'Hora_16', 'Hora_17', 'Hora_18', 'Hora_19', 'Hora_20', 'Hora_21', 'Hora_22', 'Hora_23', 'Festivo_Nacional', 'MIBGAS_FW1D', 'Precio_max', 'Precio_min', 'Spred_precio', 'Temperatura_max', 'Temperatura_min', 'Spred_temperatura', 'lag_24']"
0,10.61,7.3,136.59,9.48,16.56,84.26,90,"['Spot_electricidad', 'Hueco_Termico', 'Lunes', 'Martes', 'Miercoles', 'Jueves', 'Viernes', 'Sabado', 'Hora_1', 'Hora_2', 'Hora_3', 'Hora_4', 'Hora_5', 'Hora_6', 'Hora_7', 'Hora_8', 'Hora_9', 'Hora_10', 'Hora_11', 'Hora_12', 'Hora_13', 'Hora_14', 'Hora_15', 'Hora_16', 'Hora_17', 'Hora_18', 'Hora_19', 'Hora_20', 'Hora_21', 'Hora_22', 'Hora_23', 'Festivo_Nacional', 'MIBGAS_FW1D', 'Precio_max', 'Precio_min', 'Spred_precio', 'Temperatura_max', 'Temperatura_min', 'Spred_temperatura', 'lag_24']"
0,10.96,7.6,123.08,9.79,16.88,84.39,150,"['Spot_electricidad', 'Hueco_Termico', 'Lunes', 'Martes', 'Miercoles', 'Jueves', 'Viernes', 'Sabado', 'Hora_1', 'Hora_2', 'Hora_3', 'Hora_4', 'Hora_5', 'Hora_6', 'Hora_7', 'Hora_8', 'Hora_9', 'Hora_10', 'Hora_11', 'Hora_12', 'Hora_13', 'Hora_14', 'Hora_15', 'Hora_16', 'Hora_17', 'Hora_18', 'Hora_19', 'Hora_20', 'Hora_21', 'Hora_22', 'Hora_23', 'Festivo_Nacional', 'MIBGAS_FW1D', 'Precio_max', 'Precio_min', 'Spred_precio', 'Temperatura_max', 'Temperatura_min', 'Spred_temperatura', 'lag_24']"
0,10.79,7.23,129.02,9.64,17.09,84.32,220,"['Spot_electricidad', 'Hueco_Termico', 'Lunes', 'Martes', 'Miercoles', 'Jueves', 'Viernes', 'Sabado', 'Hora_1', 'Hora_2', 'Hora_3', 'Hora_4', 'Hora_5', 'Hora_6', 'Hora_7', 'Hora_8', 'Hora_9', 'Hora_10', 'Hora_11', 'Hora_12', 'Hora_13', 'Hora_14', 'Hora_15', 'Hora_16', 'Hora_17', 'Hora_18', 'Hora_19', 'Hora_20', 'Hora_21', 'Hora_22', 'Hora_23', 'Festivo_Nacional', 'MIBGAS_FW1D', 'Precio_max', 'Precio_min', 'Spred_precio', 'Temperatura_max', 'Temperatura_min', 'Spred_temperatura', 'lag_24']"
0,11.8,7.88,121.9,10.54,18.63,84.02,365,"['Spot_electricidad', 'Hueco_Termico', 'Lunes', 'Martes', 'Miercoles', 'Jueves', 'Viernes', 'Sabado', 'Hora_1', 'Hora_2', 'Hora_3', 'Hora_4', 'Hora_5', 'Hora_6', 'Hora_7', 'Hora_8', 'Hora_9', 'Hora_10', 'Hora_11', 'Hora_12', 'Hora_13', 'Hora_14', 'Hora_15', 'Hora_16', 'Hora_17', 'Hora_18', 'Hora_19', 'Hora_20', 'Hora_21', 'Hora_22', 'Hora_23', 'Festivo_Nacional', 'MIBGAS_FW1D', 'Precio_max', 'Precio_min', 'Spred_precio', 'Temperatura_max', 'Temperatura_min', 'Spred_temperatura', 'lag_24']"
0,12.53,8.6,149.39,11.19,19.99,83.87,No Rolling,"['Spot_electricidad', 'Hueco_Termico', 'Lunes', 'Martes', 'Miercoles', 'Jueves', 'Viernes', 'Sabado', 'Hora_1', 'Hora_2', 'Hora_3', 'Hora_4', 'Hora_5', 'Hora_6', 'Hora_7', 'Hora_8', 'Hora_9', 'Hora_10', 'Hora_11', 'Hora_12', 'Hora_13', 'Hora_14', 'Hora_15', 'Hora_16', 'Hora_17', 'Hora_18', 'Hora_19', 'Hora_20', 'Hora_21', 'Hora_22', 'Hora_23', 'Festivo_Nacional', 'MIBGAS_FW1D', 'Precio_max', 'Precio_min', 'Spred_precio', 'Temperatura_max', 'Temperatura_min', 'Spred_temperatura', 'lag_24']"
0,16.81,10.41,196.92,15.02,27.88,82.68,7,"['Spot_electricidad', 'Hueco_Termico', 'Lunes', 'Martes', 'Miercoles', 'Jueves', 'Viernes', 'Sabado', 'Hora_1', 'Hora_2', 'Hora_3', 'Hora_4', 'Hora_5', 'Hora_6', 'Hora_7', 'Hora_8', 'Hora_9', 'Hora_10', 'Hora_11', 'Hora_12', 'Hora_13', 'Hora_14', 'Hora_15', 'Hora_16', 'Hora_17', 'Hora_18', 'Hora_19', 'Hora_20', 'Hora_21', 'Hora_22', 'Hora_23', 'Festivo_Nacional', 'MIBGAS_FW1D', 'Precio_max', 'Precio_min', 'Spred_precio', 'Temperatura_max', 'Temperatura_min', 'Spred_temperatura', 'lag_48']"
