,,MAE,MAPE
2020,6,2.68250210225696,9.40433725699685
2020,7,2.4231416851374137,7.496221904740587
2020,8,2.814352319915815,7.901063454208764
2020,9,3.544625428173279,8.788146948694708
2020,10,3.917063474395163,20.478399571757212
2020,11,3.300284229772625,9.395706932755568
2020,12,4.337869158200217,30.32962074229995
2021,1,8.21819868914908,64.65789514192514
2021,2,8.61900881695062,242.84577900297657
2021,3,7.444943623359622,20.361235294076902
2021,4,7.3333507160339755,18.233170190238287
2021,5,7.62359693293575,971.0369967821583
2021,6,5.667652065154453,10.236290759567748
2021,7,6.138302384293401,11.78564503175106
2021,8,6.223374508867806,21.60887391992514
2021,9,9.069074414583765,5.983138923689575
2021,10,18.122572874131286,13.709455963023874
2021,11,12.728626383585134,9.101129688072522
2021,12,24.96211109539649,82.45807189984747
