,,MAE,MAPE
2020,6,2.6931091395992186,9.441751538787262
2020,7,2.4268418008791675,7.505196792535603
2020,8,2.815189884911223,7.903336865261895
2020,9,3.5457744015938197,8.794285017317247
2020,10,3.919202796046193,20.452896468520738
2020,11,3.3147210610431324,9.425626433997238
2020,12,4.3280837770691,30.223950847049387
2021,1,8.20527922299402,64.1144244278422
2021,2,8.612192786599872,240.6865941362844
2021,3,7.460324052293143,20.361079619120908
2021,4,7.315545104627716,18.189555508468377
2021,5,7.6502314400688345,967.5353636166553
2021,6,5.715228915438977,10.276645972061212
2021,7,6.151146417706346,11.788404051850302
2021,8,6.2245675053095795,21.62757278904408
2021,9,9.034694429681354,5.9634538089239175
2021,10,18.10882256448982,13.694102386866165
2021,11,12.742132187795109,9.10835467702626
2021,12,24.96137324812474,82.44347604649872
